category,incident_count
Category 26,18453
Category 42,15977
Category 53,15968
Category 46,13324
Category 23,7779
Category 9,7365
Category 32,7273
Category 37,6584
Category 57,6532
Category 20,5506
Category 61,5168
Category 24,4561
Category 34,3946
Category 40,3760
Category 45,3619
Category 51,2390
Category 28,2256
Category 35,2037
Category 44,1798
Category 19,1592
Category 13,994
Category 43,858
Category 55,801
Category 17,512
Category 22,420
Category 56,322
Category 38,290
Category 8,264
Category 7,207
Category 33,160
Category 54,139
Category 50,93
Category 31,92
Category 63,78
?,78
Category 2,77
Category 21,69
Category 47,50
Category 59,42
Category 41,36
Category 29,32
Category 5,31
Category 25,30
Category 62,25
Category 10,24
Category 4,22
Category 52,16
Category 30,15
Category 48,10
Category 6,7
Category 16,7
Category 58,5
Category 14,5
Category 15,3
Category 12,3
Category 49,2
Category 36,2
Category 27,2
Category 3,1
